Symbol,Category,CategoryName,Name,Price,RiseFall,Change,ChangeRate,NAV,EarningRate,Volume,Amount,MarCap,Brand,인버스,레버리지,헤지
459580,6,채권,KODEX CD금리액티브(합성),1056985,2,95,0.01,1057017.0,0.8251,36376,38448,93049,KODEX,False,False,False
357870,6,채권,TIGER CD금리투자KIS(합성),55400,2,5,0.01,55395.0,0.8098,18863,1044,69345,TIGER,False,False,False
360750,4,해외주식,TIGER 미국S&P500,21625,5,-50,-0.23,21588.0,17.0672,366127,7914,62799,TIGER,False,False,False
69500,1,국내 시장지수,KODEX 200,32960,5,-10,-0.03,33031.0,-3.8692,594313,19562,56114,KODEX,False,False,False
423160,6,채권,KODEX KOFR금리액티브(합성),108935,2,25,0.02,108902.0,0.8005,6236,679,44412,KODEX,False,False,False
133690,4,해외주식,TIGER 미국나스닥100,138585,2,135,0.1,137844.0,20.516,23790,3294,43848,TIGER,False,False,False
488770,7,기타,KODEX 머니마켓액티브,101395,2,25,0.02,101403.0,0.9158,8013,812,38919,KODEX,False,False,False
449170,6,채권,TIGER KOFR금리액티브(합성),107455,2,25,0.02,107422.0,0.84,11398,1224,34771,TIGER,False,False,False
381170,4,해외주식,TIGER 미국테크TOP10 INDXX,25160,5,-35,-0.14,25012.0,27.5373,94055,2363,30657,TIGER,False,False,False
379800,4,해외주식,KODEX 미국S&P500TR,19840,5,-35,-0.18,19806.0,17.1184,112891,2238,28649,KODEX,False,False,False
273130,6,채권,KODEX 종합채권(AA-이상)액티브,117060,2,35,0.03,117048.0,2.4557,982,114,28405,KODEX,False,False,False
381180,4,해외주식,TIGER 미국필라델피아반도체나스닥,19205,2,265,1.4,18835.0,8.863,178480,3423,27041,TIGER,False,False,False
122630,3,국내파생,KODEX 레버리지,14765,5,-35,-0.24,14836.0,-9.4248,1706497,25112,24635,KODEX,False,True,False
455890,6,채권,RISE 머니마켓액티브,53390,2,5,0.01,53392.0,0.8977,6020,321,22169,RISE,False,False,False
278530,1,국내 시장지수,KODEX 200TR,11560,5,-30,-0.26,11577.0,-3.4971,10374,119,22074,KODEX,False,False,False
102110,1,국내 시장지수,TIGER 200,33040,5,-135,-0.41,33088.0,-3.4544,103037,3400,18998,TIGER,False,False,False
458730,4,해외주식,TIGER 미국배당다우존스,12980,5,-5,-0.04,12954.0,11.1539,80066,1038,18724,TIGER,False,False,False
371460,4,해외주식,TIGER 차이나전기차SOLACTIVE,9505,5,-85,-0.89,9597.0,40.8223,88494,840,18215,TIGER,False,False,False
481050,6,채권,KODEX 1년은행양도성예금증서+액티브(합성),1023190,2,95,0.01,1023190.0,0.8044,166,169,18084,KODEX,False,False,False
233740,3,국내파생,KODEX 코스닥150레버리지,7020,2,25,0.36,7040.0,-14.1191,3938672,27452,17775,KODEX,False,True,False
453850,6,채권,ACE 미국30년국채액티브(H),8175,5,-70,-0.85,8159.0,-8.4906,117786,962,17732,ACE,False,False,True
310970,1,국내 시장지수,TIGER MSCI Korea TR,13880,5,-40,-0.29,13907.0,-4.8531,396,5,17336,TIGER,False,False,False
