언론사,제목,내용,작성일시
매일경제,토스증권 커뮤니티서 가장 많은 관심 받은 종목은 ‘엔비디아’…2·3위는?,"
      사진 확대    토스증권 2024년 커뮤니티 결산 이미지. [사진 출처 = 토스증권]  토스증권 커뮤니티는 올해 결산 발표를 통해 12월 기준 월간 활성 이용자 수(MAU) 180만명을 돌파하며 연초 대비 150% 성장했다고 26일 밝혔다. 일간 활성 이용자 수(DAU)는 75만명으로 연초 1월 대비 2배 가까이 증가했다.일 팔로우 수는 4만개로 연초 4000개에 비해 10배로 늘었으며 총 팔로우 수는 380만 개에 달한다. 일 생성 게시글 수도 20만개로 연초 대비 4배 증가했다.사용자들의 활발한 활동도 주목할 만하다. 1인당 평균 일별 커뮤니티 방문 횟수는 30회 이상, 월별 방문 횟수는 200회를 넘어섰다. 이는 토스증권 커뮤니티가 투자자들에게 이미 일상적인 정보 교류의 장으로 자리매김했다고 해석 가능하다.이 기간 토스증권 커뮤니티에서 가장 많은 관심을 받은 종목은 엔비디아였다. 뒤를 이어 테슬라와 트럼프 미디어&테크놀로지가 각각 2위와 3위를 차지하며 전 세계적으로 주목받은 이슈와 연관된 기업들이 커뮤니티에서 논의를 주도했다.토스증권 커뮤니티는 사용자 간 활발한 정보 교류와 토론이 이뤄지며 균형 있는 성별, 다양한 연령층의 투자자들이 참여하고 있다. 성별은 남성 60%, 여성 40%로 남성 유저 숫자가 비교적 많았으며 연령은 20대 31.2%, 30대 23.4%, 40대 23.4% 순이었다.특히 20대가 가장 큰 비중을 차지하며 젊은 세대의 높은 투자 관심이 반영됐다.토스증권 커뮤니티는 투자자 보호와 건전한 토론 문화 조성을 위해 나쁜 글 탐지 로직 등 다각도의 안전장치를 도입하기도 했다. 유저가 게시글을 업로드 하는 시점에 알고리즘을 통한 분류 작업이 진행되며 상담 전문 계열사인 토스CX에서 전담 인력이 커뮤니티를 모니터링한다.토스증권 관계자는 “지난 2021년 6월에 출시한 커뮤니티 서비스가 3년 만에 크게 성장하며 개인 투자자들이 서로 배우고 소통할 수 있는 공간으로 운영되고 있다”며 “앞으로도 투자자들에게 꼭 필요한 정보를 제공하며 국내 대표 투자 커뮤니티로서의 입지를 강화할 계획이다”라고 말했다.
",2024-12-26 14:00:29
매일경제,같은 조선株여도 갈린 초고수의 선택…삼성重은 매수·현대重은 매도 [주식 초고수는 지금],"
주식 투사 수익률 상위 1% 초고수들은 26일 오전 9시 30분 기준 HD현대일렉트릭, LG화학, NAVER, 삼성중공업, POSCO홀딩스 등을 가장 많이 순매수한 것으로 나타났다.반대로 가장 많이 순매도한 종목은 에스오에스랩, HD현대중공업, 루닛, 파인메딕스, 알테오젠 순이었다.      사진 확대     26일 미래에셋증권에 따르면 미래에셋증권에서 주식을 거래하는 수익률 상위 1% 투자자들은 이날 개장 뒤 오전 9시 30분까지 HD현대일렉트릭을 가장 많이 사들인 것으로 집계됐다.오전 9시 30분 기준 HD현대일렉트릭은 전 거래일 대비 0.64% 떨어진 38만7000원에 거래되고 있다.HD현대일렉트릭은 2017년 현대중공업으로부터 인적분할 후 전기전자기기와 에너지솔루션 전문기업으로 독립 출범해변압기, 차단기 등 전력기기와 배전기기 등 사업을 영위하고 있다.
",2024-12-26 13:52:54
매일경제,“美 대선 등 대내외 불확실성 높았던 한 해”…코스닥 공모 금액도 3년째 줄어,"
      사진 확대    한국거래소 황소상. [사진 제공 = 한국거래소]  코스닥 시장에 신규 상장한 기업들이 공모를 통해 조달한 금액이 3년째 감소하고 있다는 조사 결과가 나왔다.26일 한국거래소에 따르면 올해 코스닥 시장에 신규로 상장한 기업 수는 128곳으로 역대 최대였던 지난해(132곳)보다 줄어든 것으로 집계됐다. 이중 스팩(40사)을 제외한 88개 기업이 올해 코스닥 상장을 통해 자금을 조달했다.올해 코스닥 상장 기업들이 조달한 공모 금액은 2조4400억원으로 2021년(3조5800억원) 이후 3년 연속 감소세다.거래소는 “미국 대선 등 대내외 불확실성이 컸던 가운데 신규 상장 기업 수가 줄어든 영향”이라고 설명했다.신규 상장 기업들을 업종별로 보면 바이오 기업이 21사로 가장 많았다. 이어 기계·장비(11사), 소프트웨어(9사), 전기·전자(9사), 정밀기기(7사), 반도체(6사) 등의 순이다.유형별로 보면 일반기업이 46사로 집계됐고, 기술성장특례기업과 스팩은 각각 42사와 40사로 조사됐다.기술성장특례기업 수는 2005년 제도 도입 이후 역대 최대치다. 기술특례를 통해 상장한 바이오 기업은 16사였고, 이중 의료기기제조사가 7곳, 신약개발기업이 4곳 등이 있었다.비(非)바이오기업 중에서는 소재·부품·장비 17사, 소프트웨어 5사 등이 기술특례를 통해 상장한 것으로 나타났다.한편 스팩 소멸 방식의 합병 상장은 16사로 2021년 합병상장 허용 이후 최대치를 기록했다.거래소는 “앞으로도 한국 경제의 혁신 및 첨단산업을 이끌어갈 유망 중소·벤처기업의 발굴 및 상장을 적극적으로 추진할 것”이라며 “시장 밸류업(기업가치 제고)과 투자자 보호를 위한 노력도 지속할 계획”이라고 말했다.
",2024-12-26 13:52:14
매일경제,"개장 직후 80만원까지 오른 삼양식품, 다시 하락 전환","
 신고가 경신 후 2% 빠져        사진 확대    [삼양식품] 불닭볶음면 시뮬이미지  장 초반 80만원까지 올랐던 삼양식품이 이내 하락세로 돌아서면서 ‘황제주 등극’에서 멀어졌다.26일 한국거래소에 따르면 이날 오후 1시 47분 기준 삼양식품은 전날보다 2.04% 떨어 76만7000원에 거래되고 있다.삼양식품은 이날 개장 직후 주가가 80만원까지 오르면서 52주 최고가 기록을 다시 썼지만 하락 전환하면서 2% 수준까지 주가가 빠지는 상황이다.삼양식품은 경기방어주의 선전 속에서도 해외 공장 설립 발표로 수출 증가 기대까지 더해지면서 주목받았다.삼양식품은 이달 주가가 처음으로 70만원선을 돌파한 뒤 이날 80만원까지 오르자 차익실현 매물이 장 중에 출회된 것으로 보인다.이날 삼양식품의 주가가 소폭 주춤하는 모습을 보였지만 증권가에서는 실적 호조를 바탕으로 상승 여력이 남았다고 바라보고 있다.지난 23일 한유정 한화투자증권 연구원은 삼양식품의 목표주가를 80만원에서 100만원으로 올리며 “중국에 공장을 설립해 현지 시장을 공략하는 등 향후 불닭 지식재산권(IP)을 활용해 종합 식품 기업으로 성장할 수 있다”고 말했다.
",2024-12-26 13:50:19
매일경제,"[MK시그널] 천연가스·전기 공급 유틸리티 기업 니소스, 매수신호 발생","
안녕하세요. 미국 주식 핫 이슈 종목을 분석해드리는 AI 기자 ‘MK시그널’입니다.니소스(NI)의 매수 신호가 발생했습니다. MK시그널에 따르면 니소스는 지난 24년 12월 24일 36.44 달러에 매수 신호가 포착됐습니다.      사진 확대     직전 매수신호는 24년 6월 25일 28.88 달러에 포착됐고, 177일 후 35.43 달러에 매도해 수익률 22.68% 를 확정했습니다.      사진 확대     니소스는 천연가스 및 전기 등 에너지 솔루션에 종사하는 유틸리티 회사입니다. 주거, 상업, 산업 고객을 대상으로 전기와 천연가스 서비스를 제공합니다. 천연가스 파이프라인과 전기 생산을 위한 석탄 화력 발전소, 수력 발전소 등을 운영 중입니다내년 예상 매출액은 61억 달러로 지난해 대비 6% 증가하고, 주당순이익은 1.9 달러로 9% 증가할 전망입니다.내후년 매출액은 64억 달러로 5% 증가하고, 주당순이익은 2 달러로 수익성이 5% 증가 할 것으로 증권가는 예상하고 있습니다.      사진 확대     이 종목의 향후 매매신호를 받으려면 MK시그널 앱을 설치하고 관심종목으로 등록하면 실시간으로 확인할 수 있습니다.MK시그널은 AI가 국내·미국 주식 8000여 개 종목에 대한 투자 정보와 매매 신호를 국내 최초로 하나의 애플리케이션으로 제공하는 매일경제 증권 정보 서비스입니다.※ 매일경제 AI기자의 종목 분석 서비스가 더 보고 싶으면 구글 플레이스토어 또는 애플 앱스토어에서 “MK시그널” 모바일 앱을 다운로드하세요!☞ MK시그널 iOS 애플 앱스토어 출시! 다운받기☞ MK시그널 안드로이드 다운받기
",2024-12-26 13:46:59
매일경제,"[MK시그널] 한화엔진, 선박 엔진 공급 계약 소식에 주가 상승세... MK시그널 추천 후 상승률 8.29% 기록","
      사진 확대     12월 26일 한화엔진(082740)이 강세다. 전일 한화엔진 주가는 종가 기준 1.84% 하락한 17,640원에 마감했다. 현재는 18,890원으로 (10시 8분 기준) 전일 종가 대비 7.03% 상승한 상태를 보이고 있다.MK시그널은 한화엔진을 AI 2호를 통해 24년 12월 24일 매수 추천했으며, 목표가 및 손절가 도달 전 보유 전략을 통해 8.16%의 평가손익 수익률을 기록하고 있다.(MK시그널의 투자전략에 따른 수익 성과는 투자자별로 상이할 수 있습니다.)인공지능이 선정한 포트폴리오 AI 2호는 컨센서스가 상향된 든든한 실적 우량주로 포트폴리오 구성이 되어 있으며, 펀더멘탈, 수급 등 우량한 종목 대상 투자전략 시그널을 제공하고 있다. 포트폴리오 편입 후 최대 보유 기간은 10일, 목표가 20%, 손절가 10% 원칙으로 편출 전략을 가져가고 있다.한화엔진(082740)은 24일 한화오션과 841억원 규모의 선박용 엔진 공급계약을 체결했다는 소식에 주가가 상승하는 것으로 보인다. 계약 금액은 최근 매출액 대비 8.9%이며, 계약 기간은 지난 24일부터 오는 2027년 10월 25일까지다.MK시그널 현재 ‘첫 달 무료 이벤트’ 진행중!국내 주식과 더불어 미국 주식까지 한 번에! 빅데이터 알고리즘 AI의 추천 종목 매매 신호 받아보세요!인공지능(AI) 기반 매매신호 제공 앱 MK시그널이 뜨거운 성원에 힘입어, 12월 31일까지 고객 감사 할인 이벤트를 진행합니다! 회원가입 시 첫 달 무료 혜택과 함께 평생 최대 50% 할인을 제공합니다. 구글 플레이스토어와 애플 앱스토어에서 앱을 다운로드하고 회원가입 한 모든 회원이 참여할 수 있습니다. 이번 기회를 놓치지 말고 MK시그널과 함께 스마트하고 성공적인 투자를 시작하세요!▶MK시그널 한 달 무료체험하기 (클릭)◀▶MK시그널 iOS 버전 바로 다운받기 (클릭)◀▶MK시그널 안드로이드 버전 다운받기 (클릭)◀HOT 종목 : 쏠리드 한화오션 신성델타테크 엑스게이트 한화시스템 HD현대중공업 하이젠알앤엠
",2024-12-26 13:46:27
매일경제,[MK 골든크로스 돌파종목 : 현대차(005380) & 한화오션(042260)],"
안녕하세요. 국내 핫 이슈 종목을 분석해드리는 AI 기자 ‘MK시그널’ 입니다.MK시그널이 오늘 분석한 핫 이슈 골든크로스 종목은 현대차 & 한화오션 입니다.      사진 확대     - 현대차(005380)는 승용, RV, 소형상용, 대형상용 등의 자동차 및 자동차부품을 제조 및 판매하는 완성차 제조업체로 현대자동차그룹에 속하였으며, 현대자동차그룹에는 동사를 포함한 국내 53개 계열회사가 있음.- 종속회사인 현대로템은 전차와 차륜형장갑차 등 방위사업, 철도차량 제작, E&M 등 레일솔루션사업, 제철설비와 완성차 생산설비 등는 에코플랜트사업을 영위함.- 금융 부문 종속회사로는 현대캐피탈과 현대카드가 있음.12월 24일 5일 이평선이 20일 이평선을 돌파하는 골든크로스 발생, 발생 후 전일 대비 종가 기준 0.70% 상승하며 216,500원에 마감하였음. 현재가는 216,000원(오전 9시 50분 기준)으로 전일 종가 대비 0.23% 하락한 상태를 보임      사진 확대     - 한화오션(042260)은 종합 조선/해양 전문회사로서 사업부문은 상선, 해양 및 특수선, 기타사업(서비스, 해상화물운송)으로 구성되어 있음.- LNG 운반선, 유조선, 컨테이너선, LPG선 등 각종 선박과 다양한 해양제품 그리고 잠수함, 구축함, 구난함, 경비함 등 특수선을 건조함.- 선박 건조 등에 필요한 철판 제품은 포스코, 현대제철 등 국내제철소와 일본 및 중국에서 매입하고 있고 선박 주요 부품인 엔진은 현대중공업, 한화엔진 등으로부터 매입하고 있음.12월 24일 5일 이평선이 20일 이평선을 돌파하는 골든크로스 발생, 발생 후 전일 대비 종가 기준 0.70% 상승하며 36,000원에 마감하였음. 현재가는 37,600원(오전 9시 50분 기준)으로 전일 종가 대비 4.17% 상승한 상태를 보임HOT 종목 : 그린리소스 신성델타테크 쏠리드 모비스 한국첨단소재이 종목의 향후 매매신호를 받으려면 MK시그널 앱을 설치하고 관심종목으로 등록하면 실시간으로 확인할 수 있습니다.MK시그널은 AI가 국내·미국 주식 8000여 개 종목에 대한 투자 정보와 매매 신호를 하나의 애플리케이션으로 제공하는 매일경제 증권 정보 서비스입니다.※ 매일경제 AI기자의 종목 분석 서비스가 더 보고 싶으면 “MK시그널” 앱을 다운로드하세요!인공지능(AI) 기반 매매신호 제공 앱 MK시그널이 뜨거운 성원에 힘입어, 12월 31일까지 고객 감사 할인 이벤트를 진행합니다! 회원가입 시 첫 달 무료 혜택과 함께 평생 최대 50% 할인을 제공합니다. 구글 플레이스토어와 애플 앱스토어에서 앱을 다운로드하고 회원가입 한 모든 회원이 참여할 수 있습니다. 이번 기회를 놓치지 말고 MK시그널과 함께 스마트하고 성공적인 투자를 시작하세요![이 기사는 MK시그널 AI 로봇 기자가 작성한 글입니다.]▶ MK시그널 한 달 무료체험하기 (클릭) ◀▶MK시그널 iOS 버전 다운받기 (클릭)◀▶MK시그널 안드로이드 버전 다운받기 (클릭)◀
",2024-12-26 13:45:37
매일경제,KODEX 미국서학개미 ETF 순자산 1천억 돌파,"
      사진 확대     삼성자산운용은 KODEX 미국서학개미 ETF가 순자산 1000억을 돌파했다고 26일 밝혔다.이러한 수요는 KODEX 미국서학개미 ETF가 연초 이후 수익률 95.8%를 기록하며, 국내 전체 ETF 시장에서 1위(레버리지 제외)를 차지했기 때문이다.최근 한 달간 개인 투자자들의 순매수 금액도 600억원을 넘어섰다.KODEX 미국서학개미 ETF는 미국 뉴욕거래소, 나스닥 거래소에 상장된 종목들 중에 한국예탁결제원 보관금액 상위 25개 기업을 매월 보관금액 기준으로 가중해 편입비중을 정하는 방식으로 포트폴리오를 구성한다.특정 섹터나 테마에 국한하지 않고 서학개미가 투자하고 있는 종목을 매월 반영할 수 있기 때문에 시장상황에 따라 유연하게 대응하는 스마트 투자자들의 흐름을 빠르게 따라갈 수 있다.현재 주요 구성종목은 테슬라, 엔비디아, 애플 등 미국의 대표 빅테크 기업과 양자컴퓨터의 대표기업 아이온큐, AI소프트웨어기업 팔란티어, 가상자산투자기업 마이크로스트래티지 등이다.김도형 삼성자산운용 ETF컨설팅본부장은 “상장 초기 생소한 전략으로 주목받지 못했지만, 꾸준한 성과와 투자자들의 신뢰를 통해 현재는 투자자들의 선택을 받는 핵심 상품으로 자리 잡았다”고 말했다.
",2024-12-26 13:42:30
매일경제,TIGER 미국필라델피아AI반도체나스닥 ETF 상장 이후 개인 누적 순매수 1천억원 돌파,"
      사진 확대     미래에셋자산운용은 ‘TIGER 미국필라델피아AI반도체나스닥’ 상장지수펀드(ETF)’가 상장일 이후 개인 누적 순매수 1000억원을 돌파했다고 26일 밝혔다.지난달 26일 신규 상장 이후 지속적으로 자금이 유입되며 17영업일 만에 1188억원의 개인투자자 순매수를 기록했다.‘TIGER 미국필라델피아AI반도체나스닥 ETF’의 기초지수는 ‘미국AI필라델피아반도체지수(PHLX US AI Semiconductor Index, ASOX)’다.이는 나스닥 증권거래소가 1993년 글로벌 대표 반도체 지수인 ‘PHLX Semiconductor Sector(SOX, 미국필라델피아반도체 지수)’를 선보인 이래 30여년만에 새롭게 발표한 글로벌 반도체 투자 지수다.AI의 등장이 가져 온 반도체 산업의 변화를 반영한 지수로, 기존 미국필라델피아반도체 지수에서 AI 비중을 높인 것이 특징이다.
",2024-12-26 13:42:20
매일경제,"한강에셋자산운용, 리츠 시장 진출 본격화…‘한강네오밸류제일호’ 영업인가 획득","
      사진 확대     부동산 및 인프라 대체투자 전문 운용사인 한강에셋자산운용이 본격적인 리츠 시장 진출에 나선다.26일 한강에셋자산운용은 최근 국토교통부로부터 ‘한강네오밸류제일호 리츠(REITs)’의 설립 및 영업인가를 받았다고 밝혔다.‘한강네오밸류제일호’는 한강에셋자산운용의 첫 번째 리츠이다. 이 리츠는 경기도 오산시 청학동에 소재한 토지 11만8826㎡(3만5945평)를 매입 후 공동주택 2580세대(분양 1,290세대, 임대 1,290세대) 및 근린생활시설을 개발하기 위해 설립됐다.분양 세대는 ‘한강네오밸류제일호’가 사업비 8036억 원을 조달해 직접 개발하며 임대 세대는 별도의 리츠를 설립해 사업을 추진할 예정이다.한강에셋자산운용은 2021년 12월 리츠 자산관리회사(AMC) 겸업인가를 취득했으며 리츠 및 신재생(태양광 및 풍력) 투자를 적극적으로 추진하고 있다.또한 부동산 조직 역량 강화를 위해 신임 부동산 투자운용 본부장으로 김근수 미래에셋자산운용 주택도시기금운용 본부장을 영입했다.김 본부장은 미국, 유럽 등 해외부동산 투자 분야를 포함 국내외 부동산 및 대체투자 분야에서 약 20년간 전문성을 쌓아온 전문가다.미래에셋자산운용 부동산투자 팀장, 주택도시기금 대체투자 본부장을 역임하며 파크원, 더에셋 및 마일웨이 등 국내외 부동산 투자에서 굵직한 딜을 성사했다.      사진 확대    김근수 한강에셋자산운용 부동산 투자운용 본부장(전무)[사진 출처=한강에셋자산운용]  한강에셋자산운용은 앞서 지난 8월 부동산 부문을 이끌 신임 대표이사에 김상욱 전 DWS자산운용 아시아태평양 자산운용(AM) 부문 대표를 새로 영입하기도 했다.아울러 주식운용본부를 신설해 기존 부동산 및 인프라 중심의 대체투자를 넘어 전통 자산 투자로 영역을 확대하여 종합자산운용사로 도약도 추진 중이다.최대 주주이자 창업가는 친환경 기업이자 국내 유일의 밸류업 플랫폼 기업 이도(YIDO)의 최정훈 대표이사이며 현재 AUM(운용자산)은 약정 기준으로 약 5조 원에 달한다.전유훈 한강에셋 총괄대표는 “기존 국내외 부동산펀드 비즈니스를 넘어 이번 1호 리츠를 시작으로 리츠 시장에서 입지를 넓혀 투자자들에게 매력적인 부동산 투자 기회를 지속해서 제공할 것”이라며 “리더십 및 조직 인력 강화를 바탕으로 2025년을 새로운 도약의 해로 만들겠다”고 밝혔다.
",2024-12-26 13:39:29
