,Code,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region
0,005930,삼성전자,KOSPI,,54100,1,400,0.74,53900,54400,52700,22804926,1228936823600,322965235955000,5969782550,STK,통신 및 방송 장비 제조업,"통신 및 방송 장비 제조(무선) 제품, 반도체 제조(메모리) 제품, 전자부품 제조(디스플레이) 제품, 영상 및 음향기기 제조(영상기기) 제품 등",1975-06-11,12월,한종희,http://www.samsung.com/sec,경기도
1,000660,SK하이닉스,KOSPI,,167100,2,-5900,-3.41,173500,173600,165000,4415296,740875356642,121649195191500,728002365,STK,반도체 제조업,"반도체,컴퓨터,통신기기 제조,도매",1996-12-26,12월,곽노정,http://www.skhynix.com,경기도
2,373220,LG에너지솔루션,KOSPI,,390500,1,8500,2.23,383000,397000,383000,263810,102910783500,91377000000000,234000000,STK,일차전지 및 이차전지 제조업,"2차전지 (소형,ESS,자동차전지)",2022-01-27,12월,김동명,,서울특별시
3,207940,삼성바이오로직스,KOSPI,,962000,2,-2000,-0.21,970000,984000,956000,79021,76372916000,68469388000000,71174000,STK,기초 의약물질 제조업,바이오의약품,2016-11-10,12월,임존종보 (Rim John Chongbo),http://www.samsungbiologics.com,인천광역시
4,005380,현대차,KOSPI,,203500,2,-1000,-0.49,203500,206000,200000,771570,156792394000,42616194868500,209416191,STK,자동차용 엔진 및 자동차 제조업,"자동차(승용차,버스,트럭,특장차),자동차부품,자동차전착도료 제조,차량정비사업",1974-06-28,12월,"정의선, 장재훈, 이동석(각자 대표이사)",http://www.hyundai.com,서울특별시
5,068270,셀트리온,KOSPI,,180100,2,-900,-0.5,181000,182400,176900,592555,106666390100,39095847575400,217078554,STK,기초 의약물질 제조업,"램시마, 트룩시마, 허쥬마",2018-02-09,12월,"기우성, 김형기, 서진석",http://www.celltrion.com,인천광역시
6,000270,기아,KOSPI,,94800,1,800,0.85,94100,96200,93200,971100,91846869400,37699365513600,397672632,STK,자동차용 엔진 및 자동차 제조업,"승용차,중대형버스,트럭,민수특수차량,군수차량 제조,판매,정비",1973-07-21,12월,"송호성,최준영(각자 대표이사)",http://www.kia.co.kr,서울특별시
7,010130,고려아연,KOSPI,,1813000,2,-187000,-9.35,2124000,2407000,1736000,248705,520852009000,37535052079000,20703283,STK,1차 비철금속 제조업,"연,아연괴 제조,판매",1990-07-28,12월,"박기덕, 정태웅",http://www.koreazinc.co.kr,서울특별시
8,005935,삼성전자우,KOSPI,,45500,2,-50,-0.11,45100,45800,44700,1110438,50387861350,37441344850000,822886700,STK,,,,,,,
9,105560,KB금융,KOSPI,,85300,2,-500,-0.58,84900,88600,84900,4828139,416315511236,33567974481900,393528423,STK,기타 금융업,-,2008-10-10,12월,양종희,http://www.kbfg.com,서울특별시
