Symbol,Category,Name,Price,RiseFall,Change,ChangeRate,NAV,EarningRate,Volume,Amount,MarCap
459580,6,KODEX CD금리액티브(합성),1056985,2,95,0.01,1057017.0,0.8251,36376,38448,93049
357870,6,TIGER CD금리투자KIS(합성),55400,2,5,0.01,55395.0,0.8098,18863,1044,69345
360750,4,TIGER 미국S&P500,21625,5,-50,-0.23,21588.0,17.0672,366127,7914,62799
069500,1,KODEX 200,32960,5,-10,-0.03,33031.0,-3.8692,594313,19562,56114
423160,6,KODEX KOFR금리액티브(합성),108935,2,25,0.02,108902.0,0.8005,6236,679,44412
133690,4,TIGER 미국나스닥100,138585,2,135,0.1,137844.0,20.516,23790,3294,43848
488770,7,KODEX 머니마켓액티브,101395,2,25,0.02,101403.0,0.9158,8013,812,38919
449170,6,TIGER KOFR금리액티브(합성),107455,2,25,0.02,107422.0,0.84,11398,1224,34771
381170,4,TIGER 미국테크TOP10 INDXX,25160,5,-35,-0.14,25012.0,27.5373,94055,2363,30657
379800,4,KODEX 미국S&P500TR,19840,5,-35,-0.18,19806.0,17.1184,112891,2238,28649
273130,6,KODEX 종합채권(AA-이상)액티브,117060,2,35,0.03,117048.0,2.4557,982,114,28405
381180,4,TIGER 미국필라델피아반도체나스닥,19205,2,265,1.4,18835.0,8.863,178480,3423,27041
122630,3,KODEX 레버리지,14765,5,-35,-0.24,14836.0,-9.4248,1706497,25112,24635
455890,6,RISE 머니마켓액티브,53390,2,5,0.01,53392.0,0.8977,6020,321,22169
278530,1,KODEX 200TR,11560,5,-30,-0.26,11577.0,-3.4971,10374,119,22074
102110,1,TIGER 200,33040,5,-135,-0.41,33088.0,-3.4544,103037,3400,18998
458730,4,TIGER 미국배당다우존스,12980,5,-5,-0.04,12954.0,11.1539,80066,1038,18724
371460,4,TIGER 차이나전기차SOLACTIVE,9505,5,-85,-0.89,9597.0,40.8223,88494,840,18215
481050,6,KODEX 1년은행양도성예금증서+액티브(합성),1023190,2,95,0.01,1023190.0,0.8044,166,169,18084
233740,3,KODEX 코스닥150레버리지,7020,2,25,0.36,7040.0,-14.1191,3938672,27452,17775
453850,6,ACE 미국30년국채액티브(H),8175,5,-70,-0.85,8159.0,-8.4906,117786,962,17732
310970,1,TIGER MSCI Korea TR,13880,5,-40,-0.29,13907.0,-4.8531,396,5,17336
379810,4,KODEX 미국나스닥100TR,20795,2,30,0.14,20682.0,20.6215,203360,4224,16511
214980,6,KODEX 단기채권PLUS,112895,2,15,0.01,112899.0,0.8757,370,41,16393
360200,4,ACE 미국S&P500,21860,5,-45,-0.21,21825.0,17.0451,56893,1242,15849
385540,6,RISE 종합채권(A-이상)액티브,108675,5,-80,-0.07,108615.0,2.6038,22,2,13659
453540,6,TIGER 25-10 회사채(A+이상)액티브,54030,5,-5,-0.01,54037.0,0.9905,3605,194,12907
367380,4,ACE 미국나스닥100,23815,2,20,0.08,23687.0,20.6459,31965,760,12408
229200,1,KODEX 코스닥150,11555,5,-25,-0.22,11553.0,-4.9652,1034472,11920,11919
148020,1,RISE 200,33210,5,-75,-0.23,33259.0,-3.6112,50566,1677,11457
252670,3,KODEX 200선물인버스2X,2440,5,-5,-0.2,2446.0,7.7092,17367455,42573,11419
476550,6,TIGER 미국30년국채커버드콜액티브(H),8845,5,-80,-0.9,8829.0,-7.3498,246529,2180,11131
102780,2,KODEX 삼성그룹,8290,2,15,0.18,8304.0,-9.9075,12194,101,10852
475630,7,TIGER CD1년금리액티브(합성),1031280,2,85,0.01,1031280.0,0.8217,1327,1368,10645
477080,6,RISE CD금리액티브(합성),102580,2,20,0.02,102542.0,0.8158,250,25,10336
491080,6,KODEX 25-12 은행채(AAA)액티브,101120,3,0,0.0,101129.0,0.9231,0,0,9560
305540,2,TIGER 2차전지테마,16505,5,-195,-1.17,16558.0,-17.1627,266095,4379,9499
305720,2,KODEX 2차전지산업,13510,5,-125,-0.92,13541.0,-18.5728,194376,2618,9416
476810,6,KODEX 25-11 은행채(AA-이상)PLUS액티브,10370,5,-10,-0.1,10377.0,1.071,10,0,9412
458760,4,TIGER 미국배당다우존스타겟커버드콜2호,10980,3,0,0.0,10972.0,9.7341,30337,333,8586
436140,6,SOL 종합채권(AA-이상)액티브,113450,5,-115,-0.1,113457.0,2.5417,5,0,8403
368590,4,RISE 미국나스닥100,23070,2,25,0.11,22943.0,20.585,135988,3134,8236
157450,6,TIGER 단기통안채,109065,3,0,0.0,109077.0,0.7621,183,19,8142
494900,6,TIGER 25-12 금융채(AA-이상),50310,3,0,0.0,50312.0,,0,0,8035
315930,2,KODEX Top5PlusTR,20930,5,-65,-0.31,21002.0,-2.5528,404,8,7870
292150,2,TIGER TOP10,10765,2,50,0.47,10779.0,-4.8064,3665,39,7864
278540,1,KODEX MSCI Korea TR,11035,5,-20,-0.18,11065.0,-5.3511,55,0,7824
446720,4,SOL 미국배당다우존스,11915,2,10,0.08,11899.0,11.2928,39675,472,7590
453870,4,TIGER 인도니프티50,13945,5,-55,-0.39,13993.0,4.3219,11744,163,7356
356540,6,ACE 종합채권(AA-이상)KIS액티브,107050,2,20,0.02,107001.0,2.3965,97,10,7188
294400,1,KOSEF 200TR,42070,5,-5,-0.01,42118.0,-3.7186,943,39,7068
457480,4,ACE 테슬라밸류체인액티브,18535,5,-330,-1.75,18536.0,74.2725,219870,4071,6876
153130,6,KODEX 단기채권,111830,2,5,0.0,111840.0,0.7704,7695,860,6873
379780,4,RISE 미국S&P500,18930,5,-35,-0.18,18898.0,17.1329,12809,242,6853
458250,6,TIGER 미국30년국채스트립액티브(합성 H),42615,5,-465,-1.08,42609.0,-12.4747,25697,1093,6423
451540,6,TIGER 종합채권(AA-이상)액티브,56100,5,-45,-0.08,56063.0,2.6792,40,2,6363
329750,6,TIGER 미국달러단기채권액티브,13065,2,35,0.27,13061.0,8.0431,20883,272,6176
314250,4,KODEX 미국빅테크10(H),47740,2,275,0.58,47296.0,20.2102,61286,2923,6144
371160,4,TIGER 차이나항셍테크,7300,5,-105,-1.42,7354.0,41.7224,175728,1279,6114
411060,5,ACE KRX금현물,17580,5,-255,-1.43,17532.0,15.4368,96899,1699,5872
329200,2,TIGER 리츠부동산인프라,4155,5,-5,-0.12,4156.0,-9.8006,22044,91,5713
152100,1,PLUS 200,33535,5,-190,-0.56,33581.0,-3.206,67267,2252,5634
402970,4,ACE 미국배당다우존스,13120,5,-10,-0.08,13115.0,11.2994,29091,381,5576
272580,6,TIGER 단기채권액티브,54945,3,0,0.0,54952.0,0.8165,600,32,5565
396500,2,TIGER Fn반도체TOP10,9280,2,40,0.43,9296.0,-10.3783,40931,379,5540
114800,3,KODEX 인버스,4660,2,5,0.11,4660.0,4.6067,2759401,12881,5522
486290,4,TIGER 미국나스닥100타겟데일리커버드콜,10610,2,30,0.28,10562.0,19.6967,70170,743,5507
456610,6,TIGER 미국달러SOFR금리액티브(합성),58055,2,10,0.02,58121.0,8.2323,1285,74,5412
390390,4,KODEX 미국반도체MV,24190,2,185,0.77,23882.0,11.9688,73374,1774,5334
139260,2,TIGER 200 IT,27150,2,155,0.57,27194.0,-12.2229,185,5,5300
453810,4,KODEX 인도Nifty50,14245,5,-45,-0.31,14307.0,3.7386,7641,108,5292
470260,6,TIGER 24-12 금융채(AA-이상),52285,3,0,0.0,52282.0,0.8,350,18,5144
465580,4,ACE 미국빅테크TOP7 Plus,18400,5,-30,-0.16,18285.0,28.432,65080,1195,5042
439870,6,KODEX 국고채30년액티브,123805,5,-35,-0.03,123367.0,6.8645,1632,201,4934
462010,2,TIGER 2차전지소재Fn,4590,5,-55,-1.18,4600.0,-17.2015,209819,959,4817
091180,2,KODEX 자동차,18040,5,-60,-0.33,18070.0,-0.6587,12733,229,4808
196230,6,RISE 단기통안채,113740,2,10,0.01,113752.0,0.753,190,21,4804
469830,6,SOL 초단기채권액티브,52340,2,5,0.01,52347.0,0.9061,21847,1143,4717
114260,6,KODEX 국고채3년,61780,5,-5,-0.01,61797.0,1.2868,562,34,4685
091160,2,KODEX 반도체,28710,5,-40,-0.14,28747.0,-10.492,55760,1600,4622
477050,6,PLUS 머니마켓액티브,51410,2,10,0.02,51406.0,0.8931,5003,257,4617
161510,2,PLUS 고배당주,15030,5,-175,-1.15,15035.0,3.2527,38147,575,4532
481060,6,KODEX 미국30년국채타겟커버드콜(합성 H),9530,5,-80,-0.83,9509.0,-7.1767,173909,1655,4508
474220,4,TIGER 미국테크TOP10타겟커버드콜,14460,2,5,0.03,14405.0,26.2555,69116,997,4432
293180,1,HANARO 200,33055,5,-105,-0.32,33154.0,-3.6103,44,1,4314
476450,6,히어로즈 머니마켓액티브,51560,3,0,0.0,51564.0,0.8508,5856,301,4174
449180,4,KODEX 미국S&P500(H),14110,5,-25,-0.18,14085.0,8.806,4781,67,4141
466920,2,SOL 조선TOP3플러스,13950,5,-230,-1.62,13957.0,21.5081,111057,1556,4122
148070,6,KOSEF 국고채10년,119050,5,-70,-0.06,119056.0,2.0518,10421,1240,4048
251350,4,KODEX 선진국MSCI World,31590,5,-85,-0.27,31548.0,15.6824,3435,108,3965
446770,4,ACE 글로벌반도체TOP4 Plus SOLACTIVE,25480,2,120,0.47,25215.0,9.8977,5453,138,3911
226490,1,KODEX 코스피,25410,5,-15,-0.06,25398.0,-2.8839,4936,124,3824
105190,1,ACE 200,33410,5,-60,-0.18,33486.0,-3.7527,2669,88,3725
069660,1,KOSEF 200,32920,5,-160,-0.48,32960.0,-3.3992,6525,214,3687
455030,6,KODEX 미국달러SOFR금리액티브(합성),12035,2,20,0.17,12036.0,8.0971,15636,187,3678
441680,7,TIGER 미국나스닥100커버드콜(합성),11245,2,5,0.04,11275.0,13.375,13923,156,3666
472870,6,RISE 미국30년국채엔화노출(합성 H),8880,5,-55,-0.62,8898.0,-9.5099,126673,1124,3636
385560,6,RISE KIS국고채30년Enhanced,85380,5,-280,-0.33,85145.0,9.4836,4700,401,3612
479080,6,1Q 머니마켓액티브,51435,2,10,0.02,51432.0,0.8926,174,8,3493
483280,4,KODEX 미국AI테크TOP10타겟커버드콜,11715,2,65,0.56,11673.0,24.5856,46989,548,3409
448290,4,TIGER 미국S&P500TR(H),14600,5,-45,-0.31,14580.0,9.1281,5078,74,3395
454780,6,히어로즈 종합채권(AA-이상)액티브,111255,3,0,0.0,111241.0,2.5202,0,0,3392
302190,6,TIGER 중장기국채,52775,5,-25,-0.05,52772.0,1.6264,447,23,3335
091170,2,KODEX 은행,8580,5,-40,-0.46,8583.0,6.1837,69318,594,3299
449190,4,KODEX 미국나스닥100(H),17085,3,0,0.0,16992.0,12.3569,21844,372,3289
364980,2,TIGER 2차전지TOP10,9165,5,-45,-0.49,9200.0,-17.2135,756796,6925,3217
473290,6,KODEX 26-12 회사채(AA-이상)액티브,10585,3,0,0.0,10581.0,1.2434,1837,19,3169
491610,6,1Q CD금리액티브(합성),100785,2,5,0.0,100775.0,,14,1,3162
304660,6,KODEX 미국30년국채울트라선물(H),7840,5,-65,-0.82,7839.0,-8.2947,11460,89,3026
484790,6,KODEX 미국30년국채액티브(H),9535,5,-70,-0.73,9512.0,-7.8039,260118,2477,3000
394660,4,TIGER 글로벌자율주행&전기차SOLACTIVE,11440,2,10,0.09,11443.0,19.8113,12057,137,2988
489250,4,KODEX 미국배당다우존스,11095,5,-20,-0.18,11119.0,11.2278,48785,541,2973
439860,6,KODEX ESG종합채권(A-이상)액티브,113145,5,-10,-0.01,113125.0,1.3116,1,0,2919
447770,7,TIGER 테슬라채권혼합Fn,14445,5,-140,-0.96,14438.0,26.0043,48386,699,2802
456600,4,TIMEFOLIO 글로벌AI인공지능액티브,25800,5,-40,-0.15,25613.0,35.3233,8778,225,2786
451000,6,PLUS 종합채권(AA-이상)액티브,114210,2,160,0.14,114179.0,2.48,1,0,2759
467940,6,KODEX 25-11 회사채(A+이상)액티브,10695,3,0,0.0,10699.0,0.8962,0,0,2735
