언론사,제목,내용,작성일시
매일경제,"“삼성SDI, 일회성 비용에 4분기 컨센서스 하회 예상”…목표가↓","
      사진 확대    삼성SDI 기흥사업장. [사진 = 삼성SDI]  DS투자증권은 7일 삼성SDI에 대해 지난해 4분기 일회성 비용이 반영되면서 영업손실이 예상된다며 목표주가를 기존 52만원에서 39만원으로 하향 조정했다. 다만 투자의견은 ‘매수’를 유지했다.삼성SDI의 4분기 영업손실은 233억원으로 전년동기대비 적자전환하며 컨센서스(증권사 전망치 평균)를 하회할 것으로 전망했다. 같은 기간 매출액은 31.8% 감소한 3조8000억원으로 추정했다.중대형전지는 주요 고객사 부진으로 전분기 수준의 드론·친환경차(xEV) 출하량이 예상된다고 설명했다. 에너지저장장치(ESS) 호조는 지속돼 중대형전지 출하량 성장을 견인할 것으로 봤다. 소형전지는 리비안 물량 부재 외에도 전동공구와 IT향도 부진하며 출하량이 감소할 것으로 예상했다.여기에 일회성 비용 인식으로 중대형전지를 중심으로 마진율을 하향했다는 설명이다. 일회성 비용은 재고평가손실과 품질충당보증금 설정 등에 따라 약 1000억원 발생할 것으로 전망했다.삼성SDI의 고객사인 리비안이 올해 미국 인플레이션감축법(IRA) 보조금 대상 차종에서 제외된 점도 부담 요인으로 꼽았다. 3750달러 보조금의 부재는 리비안의 가격 경쟁력에 큰 부담이 될 전망이다. 원통형 전지 주 고객사가 리비안인 점을 감안하면 소형전지 출하량 회복이 지연될 수밖에 없다고 짚었다.최태용 DS투자증권 연구원은 “소형전지 중심으로 가동률 회복이 지연된 점을 반영해 실적 추정치를 하향했다”며 “트럼프 대통령 당선으로 업황 위축이 가시화하고 있다”고 말했다.최 연구원은 “첨단제조생산세액공제(AMPC)를 포함한 IRA 보조금 폐지 가능성은 불확실하지만, 예산 감축을 위한 보조금 축소는 예상 가능한 범위”라며 “전방 시장 둔화는 불가피하나 경쟁사 대비 AMPC 의존도가 낮은 점은 오히려 장점으로 부각될 수 있다”고 덧붙였다.
",2025-01-07 08:25:11
매일경제,"“수요회복 예상보다 빠르다”...이제 ‘30만닉스’ 되나, SK하이닉스 목표가↑","
      사진 확대    SK하이닉스. [사진 출처 = 연합뉴스]  BNK투자증권은 7일 SK하이닉스에 대해 수요 환경이 예상보다 빨리 개선되고 있다며 목표주가를 기존 25만원에서 31만원으로 상향 조정했다.BNK투자증권은 재고정책을 변경(과거보다 높은 재고수준 유지로 선회)한 점과 중국 정부의 내수 부양책(스마트폰도 이구환신 정책에 포함)에 힘입어 상반기 모바일 수요는 예상보다 빠르게 호전될 것으로 내다봤다. 앞서 BNK투자증권은 지난해 말에서 올해 1분기 사이 모바일 재고조정이 완료될 것으로 예상한 바 있다.서버의 경우 DDR4는 재고조정이 더디나 DDR5는 양호한 수요가 이어질 전망이다. SK하이닉스가 경쟁사들 대비 출시가 늦었던 32Gb 모노다이 기반 128GB 고용량 모듈은 예상보다 수요가 없는 반면 오히려 주력하는 96GB로 수요가 몰리고 있어 서버 사업에는 긍정적이라는 평가다.특히 BNK투자증권은 경쟁사 진입 지연으로 올해도 고대역폭메모리(HBM)은 호황일 것으로 예상했다. 작년 하반기 생산계획을 상향했던 TSMC의 올해 HBM 요구 물량은 SK하이닉스의 생산량 대비 2배에 이르기 때문에 규모가 SK하이닉스의 2~30%에 그치는 M사와 엔비디아 공급망에 진입하지 못하는 S사를 고려할 때 올해도 HBM 사업에서 고수익이 전망된다는 설명이다.이에 따라 BNK투자증권은 SK하이닉스가 지난해 HBM 사업에서 7조원의 영업이익을 낸 것으로 추정하며 올해 15조원을 거둬들일 것으로 봤다.이민희 BNK투자증권 연구원은 “예상보다 빠른 수요환경 개선을 고려해 메모리 평균판매가격(ASP) 변동률 저점을 올해 2분기에서 1분기로 변경한다”며 “내년 영업이익 전망치를 23% 상향 수정한다”고 말했다.
",2025-01-07 07:33:32
매일경제,"“휠라홀딩스, 부진은 지난해까지만…올해 실적·주가 반등 전망”","
      사진 확대    휠라홀딩스 로고. [사진출처 = 휠라홀딩스]  대신증권은 6일 휠라홀딩스에 대해 4분기 전사 영업이익이 적자를 기록할 것으로 예상된다며 투자의견 매수, 목표주가 5만2000원을 유지했다.대신증권은 휠라홀딩스의 2024년 4분기 영업이익은 -129억원으로 직전분기대비 적자 전환할 것으로 전망했다.휠라홀딩스는 2023년 4분기 처음으로 적자 410억원을 기록한 이후, 2024년 1분기 1630억원의 영업익을 남기며 곧바로 흑자전환에 성공했다. 하지만 당해 2분기(1400억원), 3분기(930억원) 연달아 영업이익 규모를 축소시키며 4분기 적자국면에 재진입한 모습이다.대신증권은 휠라홀딩스의 4분기 실적 부진 요인으로 미국법인과 자회사의 적자를 꼽았다.휠라홀딩스 미국법인의 경우, 올해 법인 잠정 영업 중단을 위한 제반비용(퇴직금, 법적 절차를 수행하기 위한 법무법인 선임 비용 등)이 적자로 이어졌다. 자회사인 골프웨어브랜드 아쿠쉬넷(Acushnet)은 연말 재고 정리가 적자에 반영됐다.특히 아쿠쉬넷은 전체 손익에서 매우 큰 영향을 미치는 자회사로, 아쿠쉬넷의 부진한 손익이 4분기 전사 영업이익 적자 기조를 부추겼다고 대신증권은 분석했다.같은 기간 휠라홀딩스 국내 사업부문도 손익 부진을 기록할 것으로 대신증권은 관측했다. 지난해 10월 늦은 무더위로 국내 가을·겨울(F/W 시즌) 제품 판매가 저조했고 소비 심리도 악화됐기 때문이다. 중국 수수료는 환 효과로 7% 증가할 전망이지만 글로벌 로열티는 환 영향에도 불구하고 6% 감소할 것으로 추정했다.대신증권은 휠라홀딩스의 올해 실적 및 주가는 지난해대비 개선세를 보일 것으로 내다봤다.휠라홀딩스는 지난해 자사주 500억원 매입에 이어 올해도 동일 금액의 자사주 매입 계획을 공시한 바 있다. 이에 대신증권은 휠라홀딩스가 자사주 매입에 따른 수급 요인과 안정적인 현금 창출 구조에 따라 상대적으로 안정적인 주가 흐름을 보이고 있다고 평가했다.또 휠라홀딩스가 지난해 국내 영업적자를 끝으로 올해는 영업이익이 흑자 전환할 것으로 대신증권은 예상했다. 미국법인의 구조조정 효과로 올해 연간 영업이익이 36% 증가할 것이란 설명이다.유정현 대신증권 연구원은 “자사주 매입 등을 고려하면 주가의 안정성은 뛰어나지만 탄력적인 주가 상승을 위해서는 궁극적으로 FILA 브랜드력 회복이 필요하다”고 말했다.
",2025-01-07 07:32:21
매일경제,"“주식 리포트, 그래도 여긴 볼 만 하네”…9년 연속 리서치 1등 증권사는?","
 2024년 매경 베스트 애널리스트하나證, 11개 부문서 1위 위업2위 신한투자 새얼굴 4명 배출NH투자·메리츠 공동 3위 올라        사진 확대    하나증권 여의도 본사. [매경DB]  국내 최고 권위를 자랑하는 매경이코노미 베스트 애널리스트 평가에서 하나증권이 종합 1위를 거머쥐었다.매경이코노미·나이스디앤알이 공동으로 2024년 베스트 애널리스트를 선정한 결과, 하나증권은 11개 부문에서 베스트를 기록하며 9연패의 금자탑을 쌓았다. 2016년 이후 9년 연속 이룬 쾌거다. 신한투자증권이 2위, NH투자증권과 메리츠증권이 공동 3위로 다음 평가에 대한 기대감을 키웠다.1위 하나증권은 24개 부문에서 5위권 성적을 내 리서치 명가(名家) 위상을 재확인했다. 베테랑이 제몫을 다했다. 윤재성 애널리스트(화학·정유)가 9년 연속, 최정욱 애널리스트(은행)는 5년 연속 1위를 차지했다.새 얼굴도 눈에 띈다. 박은정(생활소비재)·이경수(파생상품)·김상만 애널리스트(크레디트)가 첫 베스트에 올랐다. 김현수(2차전지)·이기훈(엔터테인먼트·레저)·이재만(선진국 투자전략)·김경환(신흥국 투자전략)·김상훈 애널리스트(채권) 등도 제 역할을 다했다.      사진 확대     2위 신한투자증권도 세대교체에 성공했다는 평가다. 기업분석부에서 무려 4명의 새 얼굴을 배출했다. 2024년 새롭게 합류한 엄민용 애널리스트가 제약·바이오 부문 첫 베스트를 거머쥐었다.박현진(섬유·의복)·임희연(증권·보험)·은경완 애널리스트(지주회사)도 생애 첫 1위에 올랐다. 이병화(중소형주)·이정빈 애널리스트(ESG)도 1위를 탈환했다. 2·3위도 4명씩 배출하며 두꺼운 인력층을 증명했다.공동 3위 NH투자증권도 상위권 애널리스트 저변이 탄탄하다. 5위권 숫자만 놓고 보면 22개 부문으로 2위 신한투자증권을 앞지른다.5위권 애널리스트가 즐비한 만큼 다음 평가 기대감이 높다. 이화정(미디어·광고)·주영훈(유통·홈쇼핑)·하재석 애널리스트(ETF) 등이 베스트다. 이화정·하재석 애널리스트는 처음으로 1위에 올랐다.공동 3위 메리츠증권에선 김정욱 애널리스트가 음식료·담배 1위를 차지하며 이번 평가까지 이 부문 10년 연속 1위를 지켰다.정지수(정보통신서비스)·문경원 애널리스트(에너지)도 2년 연속 1위에 올랐다. 이수정 애널리스트(시황)는 첫 1위에 등극했다. 5위 KB증권은 김동원 애널리스트가 2년 연속 반도체와 전기전자·디스플레이 부문 2관왕을 차지했다. 장문준(건설)·이은택 애널리스트(투자전략)도 지난해에 이어 1위를 수성했다.미래에셋증권은 지난 평가보다 6계단 상승한 6위다. 플랫폼·게임 부문 임희석 애널리스트가 처음으로 1위에 올랐다. 유명간 애널리스트(계량분석)는 5년 연속 1위에 등극했다.삼성증권은 지난해보다 한 계단 내려간 7위를 기록했다. 철강·비철금속 부문 백재승 애널리스트가 3년 만에 1위를 탈환했다. 현대차증권도 8위로 한 계단 순위를 끌어올렸다. 장문수 애널리스트(자동차)가 첫 베스트에 등극한 가운데, 김중원 애널리스트(자산배분)도 1위를 지켰다. 김한이(지주회사)·이화진 애널리스트(크레디트)도 2위로 제몫을 다했다.리서치센터 순위는 1~5위 애널리스트 수와 전체 추천 수를 종합해 결정된다. 이번 평가는 213개 운용 부서에서 펀드매니저 564명이 참여했다. 시상식은 오는 22일 서울 중구 퇴계로 매경미디어센터 12층 대강당에서 열린다.
",2025-01-07 06:53:57
매일경제,AI 빅뱅 타고 텐배거 노린다···캐나다산 핵발전株 카메코[매일 돈이 보이는 습관 M+],"
캐나다하면 떠오르는 두 회사는 세계적인 요가복 브랜드 룰루레몬과 커피 체인점 팀홀튼이었다. 최근 월스트리트에선 여기에 카메코(티커명 CCJ)를 추가하려 한다. 카메코는 원자력 발전에 필요한 우라늄을 공급하는 기업으로, 최근 5년 주가 상승률이 487%에 달한다. 미국 대표 빅테크들의 주가 수익률을 능가하는 것은 최근 인공지능(AI) ‘빅뱅’으로 인해 원전의 필요성이 점점 커지고 있기 때문이다.테슬라 처럼 텐배거 노리는 캐나다 AI원전株      사진 확대    원자력 발전소 모습.(사진=매경)  미국과 캐나다, 카자흐스탄에 우라늄 광산을 보유한 카메코는 코로나 시절(2020~2021년) 적자를 기록하며 고전했다. 마이크로소프트와 오픈AI가 촉발한 AI의 급성장은 원자력 발전처럼 고효율 에너지를 많이 필요로 하게 됐다. 당연히 세계 최대 우라늄 공급사인 카메코의 실적도 살아나기 시작한다.
",2025-01-07 06:00:00
매일경제,"“최태원·젠슨황 만날까”…날개 단 SK하이닉스 주가, 20만닉스로 훨훨","
 새해 날아오른 반도체株MS 대규모 AI 시설투자 발표젠슨황 CES 기조연설 기대감美 ISM 제조업 지수도 호재        사진 확대    경기도 이천 SK하이닉스 본사. [사진 = 연합뉴스]  마이크로소프트의 대규모 인공지능(AI) 시설투자에 미국 반도체에 이어 한국 반도체 기업들도 큰 폭의 상승세를 보였다. 여기에 젠슨 황 엔비디아 최고경영자(CEO)의 기조연설이 예정된 CES 행사와 미국 공급관리자협회(ISM) 제조업지수 호조도 반도체주 상승에 힘을 보탰다.6일 유가증권시장에서 SK하이닉스는 9.84% 상승한 19만9800원에 마감해 ‘20만닉스’ 복귀를 눈앞에 두고 있다. 이날 SK하이닉스의 상승폭은 코로나19 셧다운으로 변동성이 극심했던 2020년 3월 24일의 13% 상승 이후 최대폭이다.특히 외국인들은 이날 SK하이닉스를 2조9060억원어치 순매수했다. 새해 들어 3거래일간 외국인은 SK하이닉스를 4조170억원어치 순매수했는데 이는 코스피 순매수 금액 2803억원보다 크다. 같은 기간 삼성전자는 791억원 규모로만 순매수했다. 올 들어 외국인들은 SK하이닉스를 집중 매수하며 현대차 등을 매도하고 있다.이날 삼성전자 역시 2.76% 상승했다.두 반도체 대장주의 상승으로 이날 코스피는 전 거래일 대비 1.91% 오른 2488.64에 장을 마감했다. 코스닥도 독감 관련 제약주와 반도체 소부장(소재·부품·장비)주 상승에 1.73% 올랐다.3일(현지시간) 마이크로소프트가 올해 800억달러의 데이터센터 투자를 발표하자 미국 필라델피아반도체 지수는 2.83% 상승했다. 그동안 빅테크들이 비용 부담 때문에 AI 투자를 확대하기 어렵다는 우려가 컸는데, 마이크로소프트의 공격적 투자 계획이 강력한 수요가 뒷받침하는 AI 투자가 계속 이어진다는 신호가 된 것이다. 이날 엔비디아가 4.45% 오른 것을 비롯해 TSMC는 3.49%, AMD는 3.93% 상승했다.      사진 확대     엔비디아에 고대역폭메모리(HBM)를 납품하는 SK하이닉스뿐만 아니라 관련 밸류체인의 종목들도 동반 상승했다.한미반도체는 6.65% 올랐으며 하나마이크론은 13.27% 상승했다.특히 이날 미국 반도체주들은 7일 개막하는 CES에 대한 기대감에 상승한 것으로 보인다. 한국 증시에서는 그간 잠시 주가가 소강 상태였던 온디바이스AI주의 상승도 두드러졌다. 엔비디아가 AI PC에 들어가는 중앙처리장치(CPU) 진출 관련 발언을 할 수 있다는 가능성 때문이다.이날 에이디테크놀로지(8.71%), 네패스(7.71%) 등이 모두 강하게 반등했다.작년 말 업황 부진에 대한 우려를 반영하며 52주 신저가 수준까지 내려갔던 반도체 소부장은 미국 ISM 제조업지수가 예상보다 호조를 보이자 반등 조건이 마련됐다는 기대가 나온다.PC 등 B2C(기업 대 소비자)와 관련된 반도체들까지 실적 성장으로 이어질 수 있기 때문이다.이은택 KB증권 연구원은 “ISM 제조업지수 반등은 결국 레거시(범용) 반도체의 반등으로 이어진다”고 말했다. 그는 “그동안 반도체 이익을 부정적으로 봤던 외국인 수급도 돌아올 수 있는 요인”이라고 덧붙였다.다만 오랜만의 주가 반등에도 불구하고 여전히 범용 반도체 가격 반등은 나타나지 않아 2거래일간의 주가 상승세가 계속 이어질지는 불확실하다.특히 올해도 D램은 HBM과 범용 시장의 양극화과 예상돼 종목 선별에 더욱 주의를 기울일 필요가 있다.이동주 SK증권 연구원은 “AI 인프라스트럭처 구축 공급망에 포지셔닝돼 있는 업체나 차세대 AI 기술 변화인 3D 패키징, 하이브리드 본딩, ASIC 등에서 기회를 엿볼 수 있는 업체로 선별해 가는 전략이 필요하다”고 조언했다.일부 코스닥 소형주의 경우 사업에 대한 기대감만 있을 뿐 구체적인 이익이 받쳐주지 않고 있어 향후 실적 발표 시즌에 주가가 조정받을 가능성도 크다. 재작년 말 온디바이스AI 테마가 유행이던 때 주가가 급등했던 업종들은 작년 초부터 우하향하며 주가가 반 토막 나기도 했다.
",2025-01-06 20:48:21
매일경제,[단독] “글로벌 큰손 국민연금 이 정도야”…해외 기업에도 제목소리 낸다,"
 올해부터 외국 기업과도 대화적극적으로 주주 의견 제시KCC글라스 조준했던 국민연금공개 주주권행사 또 나설 수도        사진 확대    서울시내의 한 국민연금공단 지사의 모습. [매경DB]  세계적 ‘큰손’인 국민연금이 해외 기업에 대한 투자를 늘리면서 이들 기업에 대한 목소리도 키워가고 있다. 스튜어드십 코드(기관투자자의 적극적 의결권 행사) 강화 기조 아래 의결권 행사와 함께 기타 주주권 행사 활동을 늘려나가는 차원에서다. 지분율이 낮아 상대적으로 활동이 부족했던 해외 기업에 대한 경영 참여를 추진하고, 성별 다양성에 관한 지침도 올해 시행을 앞두고 있다.6일 국민연금 기금운용본부에 따르면 올해부터 해외 기업에 대해서도 ‘기업과의 대화’가 도입된다.현재 국내에서는 6개 중점관리사안(배당정책 수립·임원 보수한도·법령상 위반 우려·지속 반대 의결권·기후변화 관련 위험관리·산업안전 관련 위험관리)과 기타 예상하지 못한 우려 사안이 발생했을 때 서한 발신, 비공개 면담 등의 적극적 주주활동을 벌이고 있다.국민연금이 지분을 5% 이상 보유하거나, 국민연금의 국내 주식 포트폴리오에서 1% 이상을 차지하는 기업이 대상이다. 2023년 기준 172개 기업이다. 이는 2020년 109개에서 63개(57.8%) 늘어난 수치다.그러나 해외 기업은 국민연금이 투자한 액수가 크더라도 지분율이 낮아 기업과의 대화 대상으로 선정된 곳이 사실상 없는 수준이다. 해외 기업은 전쟁·아동노동 등 다양한 ESG(환경·사회·지배구조) 이슈에 노출돼 국내 기업에 적용하는 6개 중점관리사안을 그대로 사용하기도 어렵다.이에 국민연금은 2단계에 걸쳐 해외 기업과의 대화 이행 방안을 마련하고 실효성을 높일 방침이다.      사진 확대     우선 올해와 내년에는 주주활동 용역기관을 통해 대상 기업·주제를 선정해 의견을 제시하고 기업과 미팅을 한다는 계획이다. 또 수탁자책임전문위원회(수책위)에서 우려가 제기될 때에는 이를 전달할 계획이다. 2027년부터는 용역기관을 거치지 않고 국민연금이 직접 국내 기업과 유사한 기업과의 대화를 진행한다.한편 6개 중점관리사안 가운데 기후변화 관련 위험관리, 산업안전 관련 위험관리는 2023년부터 기존 중점관리사안이었던 ‘정기 ESG 평가’로 대체하고 있다.개편 첫해인 2023년에는 두 가지 조항으로 기업과의 대화가 한 건도 이뤄지지 않았는데, 앞으로는 국민연금의 적극적 주주활동을 확대하는 기반이 될 것으로 보인다.기존 평가 체계에서는 비중 있게 다뤄지지 못했던 환경문제 등을 부각시키는 게 개정 이유였던 탓이다. 업계 관계자는 “한국의 ESG는 3개 이슈 가운데 지배구조(G)에 크게 치우친 경향이 있었다”며 “환경(E), 사회(S) 분야 이슈에 관한 국민연금의 주주활동을 늘려야 한다는 지적이 있어 조항을 바꾼 것”이라고 설명했다.국민연금이 올해 공개 주주권 행사에 나설지도 주목된다. 지난해에는 약 7%대 지분율을 가진 KCC글라스가 공개 중점관리 대상에 등재됐다. 국민연금이 경영개선 의견을 공식적으로 밝히고 나선 것은 2년 만이었다. 국민연금은 각종 비공개 조치를 통해 의사를 전달한 뒤에 대화를 거부하거나 개선 여지가 없으면 공개 행보에 나선다.국민연금은 이와 함께 2023년과 2024년 KCC글라스 정기 주주총회에서 2년 연속으로 이사 보수한도 승인 안건에 반대 결정을 내리기도 했다.국민연금이 문제 삼은 것은 KCC글라스의 임원보수한도 적정성이다. 앞서 KCC글라스는 등기이사 5명에게 지급한 보수 총액의 83%를 정몽익 회장에게 지급해 의결권 자문기구로부터 비판을 받은 바 있다.
",2025-01-06 19:28:07
매일경제,"[단독] “이봐, 문제는 수익률이야”…요즘 기업 주총장서 가장 목소리 크다는 이 큰손","
 지난해도 수책위 의결안건 역대최대 동률“주주활동·경영권 분쟁 확대로 추세 지속”국민연금 보유지분 높은 ‘주인 없는 기업’들논란 없는 정기주총 안건들도 의결권 행사        사진 확대    [매경DB]  국민연금 수탁자책임전문위원회(수책위)가작년에 여러 자본시장 현안에 개입했다.최근 사례는 한미약품의 경영권 분쟁이다. 지난해 국민연금은 한미사이언스 지분을 6~7% 보유했으며, 송영숙 회장과 임주현 부회장이 열세에 놓였던 연초부터 이들에 대한 지지를 이어왔다. 마침내 작년 12월 말 국민연금 지지를 등에 업은 4인 연합(신동국·송영숙·임주현·라데팡스)의 승리로 분쟁이 마무리됐다. 만약 국민연금이 반대편에 섰다면 모녀 측이 조기에 동력을 상실할 터였다.두산에너빌리티와 두산로보틱스의 합병·분할 안건도 최초 안에 금융당국이 제동을 걸고, 수책위마저 반대할 기류가 나오자 두산 측은 수정안을 제출할 수밖에 없었다.2023년 KT에 이어 2024년에는 포스코에서 수책위 의결을 거쳐 새로운 수장(최고경영자·CEO)이 선임됐다.이처럼 여론의 관심이 집중되는 주주총회 안건에는 기업 지배구조, 오너 일가의 가족사 등 흥미 위주의 해석이 따라붙는다. 그러나 수책위에서 가장 우선시되는 원칙은 국민연금기금의 수익률이다.수책위 관계자는 “이사 선임이나 계열사 분할·합병과 같은 안건들이 주로 관심을 받다 보니 수책위가 기업 지배구조라는 조금 더 거창한 주제를 논하는 곳이란 인식이 있다”면서 “연금 수익률을 해친다면 아무리 좋은 지배구조 개편안도 수책위 논의에서 지지받을 수 없다”고 전했다.국민연금이 투자·주주활동 등에 ESG(환경·책임·투명경영)를 반영하는 것도 단순히 사회적 책임을 다하는 것이 아니라 이를 바탕으로 장기 수익률까지 개선하는 게 목표다.      사진 확대     스튜어드십 코드가 도입된 계기를 감안해도 수책위에서 기금 수익률 이외의 가치를 앞세울 여지는 크지 않다. 2008년 금융위기가 감독기관의 실패, 금융회사의 지배구조 문제에서 비롯됐다는 반성에서 스튜어드십 코드가 시작됐다.매일경제신문이 집계한 결과, 지난해 수책위가 반대 의견을 낸 안건 비중은 전체의 32.5%였는데, 이는 전년도 22%에서 10%포인트 넘게 증가한 수치다. 전년도에 비해 이사 보수한도 승인 안건에 대한 반대가 크게 늘어난 점이 눈에 띈다.수책위로 회부되는 안건이 늘어나는 것이 불가피한 만큼 기업들도 점진적으로 주주활동에 적응해 경쟁력을 키워야 한다는 분석이 나온다.금융당국 관계자는 “기업 지배구조가 점차 국제기준에 맞춰 변화하고 있고 그 과정에서 기존 오너 일가와 투자자본이 갈등을 빚는 일도 늘어날 수밖에 없다”면서 “재벌 3세 체제로 접어들며 오너 일가 지분이 희석되는 것도 재벌가 내부 갈등이나 외부 공격이 늘어날 요인”이라고 전했다.이 같은 추세에 대해 한 전임 수책위원은 “각종 사모펀드·행동주의 투자자들과 비교하면 국민연금은 경영권을 위협할 일도 없고, 사회적인 감시도 많이 받는 기관”이라며 “실제로 기존 경영진에 우호적인 판단을 내릴 때도 많다. 기업 입장에서는 국민연금의 의결권 행사가 합리적인 주주활동을 경험할 수 있는 좋은 기회”라고 해석했다.다만 주주총회를 여는 기업 입장에서는 수책위로 안건이 회부되는 것이 당장은 부담으로 느껴질 가능성이 높다.국민연금 수탁자책임실 주주권행사팀장 출신인 문성 법무법인 율촌 파트너 변호사는 “수책위에 회부되지 않는 안건은 주로 과거 관행이나 기준에 따라 정량적 판단으로 의결권 행사 방향이 정해진다”며 “반면 수책위로 넘어간 안건은 위원들 사이에서 논의를 거쳐 결정하기 때문에 기업 입장에서는 예측 가능성이 떨어지게 된다”고 설명했다.한편 수책위 차원에서 의결 안건 수를 늘려 온 점도 주목할 부분이다. 2022년부터 국민연금의 지분이 높은 기업들은 특별한 논쟁 사안이 없더라도 수책위가 정기주총 안건에 의결권을 행사하고 있다.의결권 행사 통계에서도 2022년이 가장 큰 증가폭을 기록했으며 이후로 사회적 논란이 있는 안건이 늘어나며 점증하는 추세다.이상훈 경북대 법학전문대학원 교수는 “소유와 경영이 분리된 기업들은 현임 회장이 측근 위주로 인사를 내 ‘주인 없는 회사’란 비판에 직면하곤 한다”면서 “주로 정기주총에 이런 안건이 많이 상정되는데, 수책위를 통해 견제가 이뤄지는 것은 바람직한 현상”이라고 말했다.■ <용어 설명>▶ 국민연금 수탁자책임전문위원회(수책위) : 2018년 국민연금의 주주권 행사를 전담하기 위해서 출범한 자문기구. 이사 해임과 사외이사 선임, 정관변경 등 ‘경영참여’에 해당하는 적극적 주주권 행사 여부를 판단한다. 외부 전문가 9인으로 구성됐으며, 국민연금 기금운용본부에서 처리하기 곤란한 안건을 넘겨받거나 수책위에서 결정할 필요가 있다고 판단되는 안건을 가져와(재적위원 3 분의 1 이상 요청 시) 의결권 행사 방향을 정한다.
",2025-01-06 19:25:26
매일경제,[단독] “전 국민 노후가 달려있는데”…투자기업에 목소리 키우는 국민연금,"
 보건복지부·국민연금, 공식통계 첫 집계지난해 SK·두산 구조조정, 한미 갈등 등지분 높은 소유분산기업에 적극적 행사도        사진 확대    국민연금공단. [매경DB]  국민연금의 의결권 행사가 부쩍 활발해졌다.6일 매일경제신문이 입수한 보건복지부·국민연금 기금운용본부 자료에 따르면 국민연금 수탁자책임전문위원회(수책위)가 지난 해 의결권을 행사한 국내 주주총회 안건은 120건으로, 2020년 25건에서 4.64배 늘어났다. 이는 국민연금이 운용사 등에 위탁한 의결권은 제외하고 집계한 수치다.특히 국민연금 전체 의결권 행사에서 수책위를 통해서 결정한 비중은 2020년 1.24%에서 2024년(3분기 누적) 6.24%로 5배 넘게 늘었다. 수책위의 의결권 행사 통계가 공식 집계된 것은 이번이 처음이다.국민연금의 주주권 행사를 전담하는 수책위는 스튜어드십 코드(기관투자자의 적극적 의결권 행사) 이행을 담당하는 전문그룹이다. 이사 해임과 사외이사 선임, 정관변경 등 ‘경영참여’에 해당하는 적극적인 주주권 행사 여부를 판단한다.수책위 활동이 증가한 것은 기업 지배구조와 자본시장 문화가 변하면서 민감한 주주총회 안건이 늘어난 탓이다. 주주 행동주의와 소액주주 운동이 확산되고, 대기업 오너 일가의 경영권 분쟁도 늘어나고 있기 때문이다.2024년에는 두산과 SK의 구조조정을 위한 계열사 분할·합병안, 한미사이언스 오너 일가의 경영권 분쟁 등이 대표적이다. 올해도 고려아연과 영풍·MBK파트너스의 지분 대결에서 국민연금이 어떤 결정을 내릴지에 관심이 쏠린다.국민연금의 스튜어드십 코드까지 강화된 것도 수책위의 의결권 행사가 늘어난 배경이다. 2022년부터 국민연금이 대주주인 기업들은 특별한 사유가 없더라도 정기주주총회에서 의결권 행사 방향을 정하기 시작했다. 이에 따라 KT와 포스코, 주요 금융지주 등 소유분산기업 위주로 정기주총 안건이 수책위에 회부되고 있다.2018년 출범한 수책위는 외부 전문가 9인으로 구성됐다. 국민연금 기금운용본부에서 처리하기 곤란한 안건을 넘겨받거나, 수책위에서 결정할 필요가 있다고 판단되는 안건은 직접 가져와(재적위원 3분의 1 이상 요청 시) 의결권 행사 방향을 정한다.수책위 관계자는 “호기심이 가고 흥미로운 안건들도 중요하지만, 국민연금의 보유 비중이 큰 기업들에 더 많은 자원을 투입해 중점적으로 살피자는 취지”라고 설명했다.
",2025-01-06 18:07:19
매일경제,국민연금 목소리 커졌다 의결권행사 4년새 5배로,"


수책위, 지난해 120건 육박스튜어드십 코드 강화 영향


◆ 목소리 커지는 국민연금 ◆
국민연금의 의결권 행사가 부쩍 활발해졌다. 6일 매일경제신문이 입수한 보건복지부·국민연금 기금운용본부 자료에 따르면 국민연금 수탁자책임전문위원회(수책위)가 지난해 의결권을 행사한 국내 주주총회 안건은 116건으로, 2020년 25건에서 4.64배 늘어났다.
특히 국민연금 전체 의결권 행사에서 수책위를 통해 결정한 비중은 2020년 1.24%에서 2024년(3분기 누적) 6.24%로 5배 넘게 늘었다. 이는 국민연금이 운용사 등에 위탁한 의결권은 제외하고 집계한 수치다. 수책위의 의결권 행사 통계가 공식 집계된 것은 이번이 처음이다.
민감한 안건의 주주권 행사를 전담하는 수책위는 스튜어드십 코드(기관투자자의 적극적 의결권 행사) 이행을 담당하는 전문그룹이다. 이사 해임과 사외이사 선임, 정관 변경 등 '경영참여'에 해당하는 적극적인 의결권 행사 여부를 판단한다. 수책위 활동이 증가한 것은 기업 지배구조와 자본시장 문화가 변하면서 민감한 주주총회 안건이 늘어났기 때문이다.
국민연금의 스튜어드십 코드가 강화된 것도 수책위의 의결권 행사가 늘어난 배경이다. 2022년부터 국민연금이 대주주인 기업들은 특별한 사유가 없더라도 정기주주총회에서 의결권 행사 방향을 정하기 시작했다. 이에 따라 KT와 포스코, 주요 금융지주 등 소유분산기업 위주로 정기주총 안건이 수책위에 회부되고 있다.
[문재용 기자]

",2025-01-06 18:00:30
