Code,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region
005930,삼성전자,KOSPI,,54000,1,600,1.12,54500,54500,53700,16776565,906331224000,322368257700000,5969782550,STK,통신 및 방송 장비 제조업,"통신 및 방송 장비 제조(무선) 제품, 반도체 제조(메모리) 제품, 전자부품 제조(디스플레이) 제품, 영상 및 음향기기 제조(영상기기) 제품 등",1975-06-11,12월,한종희,http://www.samsung.com/sec,경기도
000660,SK하이닉스,KOSPI,,170100,1,1200,0.71,168000,170400,167600,2470656,417456900500,123833202286500,728002365,STK,반도체 제조업,"반도체,컴퓨터,통신기기 제조,도매",1996-12-26,12월,곽노정,http://www.skhynix.com,경기도
373220,LG에너지솔루션,KOSPI,,385000,2,-2500,-0.65,392000,396000,384500,203271,79049140500,90090000000000,234000000,STK,일차전지 및 이차전지 제조업,"2차전지 (소형,ESS,자동차전지)",2022-01-27,12월,김동명,,서울특별시
207940,삼성바이오로직스,KOSPI,,958000,1,5000,0.52,962000,966000,946000,70228,67114153000,68184692000000,71174000,STK,기초 의약물질 제조업,바이오의약품,2016-11-10,12월,임존종보 (Rim John Chongbo),http://www.samsungbiologics.com,인천광역시
005380,현대차,KOSPI,,210500,1,9500,4.73,205500,211500,204000,523895,109151012500,44082108205500,209416191,STK,자동차용 엔진 및 자동차 제조업,"자동차(승용차,버스,트럭,특장차),자동차부품,자동차전착도료 제조,차량정비사업",1974-06-28,12월,"정의선, 장재훈, 이동석(각자 대표이사)",http://www.hyundai.com,서울특별시
068270,셀트리온,KOSPI,,181900,1,6800,3.88,176800,182000,176800,347285,62672224000,39486588972600,217078554,STK,기초 의약물질 제조업,"램시마, 트룩시마, 허쥬마",2018-02-09,12월,"기우성, 김형기, 서진석",http://www.celltrion.com,인천광역시
000270,기아,KOSPI,,95700,1,3700,4.02,93000,95800,93000,1092530,103694571200,38057270882400,397672632,STK,자동차용 엔진 및 자동차 제조업,"승용차,중대형버스,트럭,민수특수차량,군수차량 제조,판매,정비",1973-07-21,12월,"송호성,최준영(각자 대표이사)",http://www.kia.co.kr,서울특별시
005935,삼성전자우,KOSPI,,45150,1,350,0.78,44900,45200,44700,1220262,54784621250,37153334505000,822886700,STK,,,,,,,
105560,KB금융,KOSPI,,84100,1,1300,1.57,84000,85300,83300,2309352,194605974300,33095740374300,393528423,STK,기타 금융업,-,2008-10-10,12월,양종희,http://www.kbfg.com,서울특별시
035420,NAVER,KOSPI,,208500,1,7000,3.47,204500,209000,203000,720947,149236130000,33034116168000,158437008,STK,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",포털 서비스 및 온라인 광고,2008-11-28,12월,최수연,http://www.navercorp.com,경기도
010130,고려아연,KOSPI,,1524000,2,-11000,-0.72,1511000,1664000,1446000,102484,160695628000,31551803292000,20703283,STK,1차 비철금속 제조업,"연,아연괴 제조,판매",1990-07-28,12월,"박기덕, 정태웅",http://www.koreazinc.co.kr,서울특별시
055550,신한지주,KOSPI,,50200,2,-500,-0.99,50200,50700,49800,1483075,74368399450,25272955315000,503445325,STK,기타 금융업,금융지주회사,2001-09-10,12월,진옥동,http://www.shinhangroup.com,서울특별시
012330,현대모비스,KOSPI,,247500,1,4500,1.85,246000,252000,243000,153582,38044693000,23016285765000,92995094,STK,자동차 신품 부품 제조업,"자동차A/S용 부품,컨테이너,특수중기,산업기계제품 생산,판매,부품모듈화,부품수출사업,환경/플랜트사업,특수중기부문(컨테이너)",1989-09-05,12월,"정의선, 이규석",http://www.mobis.com,서울특별시
005490,POSCO홀딩스,KOSPI,,269500,1,16000,6.31,256000,271000,256000,480186,127526947000,22267269601500,82624377,STK,1차 철강 제조업,"열연코일,냉연강판,후판,선재,스테인리스 제조",1988-06-10,12월,"대표이사 회장 장인화, 대표이사 사장 정기섭",http://www.posco-inc.com,경상북도
028260,삼성물산,KOSPI,,116700,1,600,0.52,116300,117700,116300,188722,22036100800,20747405286900,177784107,STK,기타 전문 도매업,"도소매, 건설, 남자용 정장 제조업 등",2014-12-18,12월,"오세철, 정해린, 이재언",http://www.samsungcnt.com,서울특별시
032830,삼성생명,KOSPI,,100400,1,2400,2.45,99000,100700,98100,171051,17045839900,20080000000000,200000000,STK,보험업,"생명보험,부동산 임대",2010-05-12,12월,홍원학,http://www.samsunglife.com,서울특별시
035720,카카오,KOSPI,,43900,1,1600,3.78,43000,44000,42950,2275497,98911279350,19471956242600,443552534,STK,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",인터넷 서비스(인터넷 광고),2017-07-10,12월,정신아,http://www.kakaocorp.com,제주특별자치도
329180,HD현대중공업,KOSPI,,218000,1,10000,4.81,211000,220500,209500,221406,47900265000,19352539288000,88773116,STK,선박 및 보트 건조업,"선박, 해양플랜트 및 엔진기계 등",2021-09-17,12월,"이상균, 노진율 (각자 대표이사)",http://www.hhi.co.kr,울산광역시
